Season;Group;Pollutant;Pollutant_label;Outcome;Outcome_label;N;Spearman_rho;p_value;Interpretation
Spring;Overall;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;30;0.029143492769744164;0.8784968881047432;"very weak positive association; not statistically significant"
Spring;Overall;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;30;-0.1581757508342603;0.4038160160187871;"very weak negative association; not statistically significant"
Spring;Industrial;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;15;0.21071428571428572;0.450957865215285;"weak positive association; not statistically significant"
Spring;Industrial;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.0964285714285714;0.7324528633867309;"very weak positive association; not statistically significant"
Spring;Industrial;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;15;0.12857142857142856;0.6479163294665075;"very weak positive association; not statistically significant"
Spring;Industrial;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.23571428571428568;0.39770294590327276;"weak positive association; not statistically significant"
Spring;Agricultural;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;15;0.028571428571428564;0.9194899083821858;"very weak positive association; not statistically significant"
Spring;Agricultural;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;-0.3285714285714285;0.23180969720615974;"weak negative association; not statistically significant"
Spring;Agricultural;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;15;-0.08214285714285713;0.7710285652881773;"very weak negative association; not statistically significant"
Spring;Agricultural;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;-0.3571428571428571;0.19127476343157904;"weak negative association; not statistically significant"
Summer;Overall;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;30;-0.12214929433689801;0.5202075079600789;"very weak negative association; not statistically significant"
Summer;Overall;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;30;-0.08609566184649611;0.651002888107269;"very weak negative association; not statistically significant"
Summer;Overall;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;30;0.008677272275298766;0.9637019069028495;"very weak positive association; not statistically significant"
Summer;Overall;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;30;-0.20444938820912126;0.2784841124231155;"weak negative association; not statistically significant"
Summer;Industrial;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;15;-0.1714285714285714;0.5412721760996332;"very weak negative association; not statistically significant"
Summer;Industrial;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;-0.33928571428571425;0.21602892534195475;"weak negative association; not statistically significant"
Summer;Industrial;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;15;0.32499999999999996;0.23722543823723394;"weak positive association; not statistically significant"
Summer;Industrial;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.15357142857142855;0.5847640949410158;"very weak positive association; not statistically significant"
Summer;Agricultural;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;15;-0.08042898653967123;0.7756920508475326;"very weak negative association; not statistically significant"
Summer;Agricultural;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.11785714285714284;0.6757115292213043;"very weak positive association; not statistically significant"
Summer;Agricultural;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;15;-0.22341385149908682;0.42347535263695235;"weak negative association; not statistically significant"
Summer;Agricultural;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;-0.2714285714285714;0.3277893068411728;"weak negative association; not statistically significant"
Autumn;Overall;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;30;0.25294771968854285;0.17745448920423737;"weak positive association; not statistically significant"
Autumn;Overall;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;30;0.20756395995550608;0.27106748890013005;"weak positive association; not statistically significant"
Autumn;Overall;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;30;0.0011123470522803117;0.9953454226627734;"very weak positive association; not statistically significant"
Autumn;Overall;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;30;0.26852057842046717;0.15135592862640532;"weak positive association; not statistically significant"
Autumn;Industrial;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;15;0.2714285714285714;0.3277893068411728;"weak positive association; not statistically significant"
Autumn;Industrial;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.5678571428571427;0.02722835670886185;"moderate positive association; statistically significant at p < 0.05"
Autumn;Industrial;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;15;-0.12142857142857141;0.6664011137233892;"very weak negative association; not statistically significant"
Autumn;Industrial;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.5357142857142856;0.03956697222954946;"moderate positive association; statistically significant at p < 0.05"
Autumn;Agricultural;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;15;0.1964285714285714;0.48289875627163353;"very weak positive association; not statistically significant"
Autumn;Agricultural;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.1464285714285714;0.602549920983054;"very weak positive association; not statistically significant"
Autumn;Agricultural;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;15;-0.0035714285714285704;0.9899214068809781;"very weak negative association; not statistically significant"
Autumn;Agricultural;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.3428571428571428;0.2109237934147519;"weak positive association; not statistically significant"
