Temporal_scale;Group;Pollutant;Outcome;Station_Rho;Station_P_value;Station_N;Station_Direction;Station_Strength;Station_Significance;Station_Interpretation;ModAria_Rho;ModAria_P_value;ModAria_N;ModAria_Direction;ModAria_Strength;ModAria_Significance;ModAria_Interpretation;Delta_Rho_ModAria_minus_Station;Direction_agreement;Magnitude_change;Final_interpretation
Monthly;Overall;NO2;Cardiocirculatory;0.2805442120447313;0.0019117094176661;120;positive;weak;statistically significant;"weak positive association; statistically significant at p < 0.05";0.4309664694695818;8.938431903914261e-07;120;positive;moderate;statistically significant;Moderate positive, statistically significant;0.1504222574248505;same direction;stronger in ModAria;Same direction, strengthened by the ModAria exposure reconstruction.
Monthly;Overall;PM25;Respiratory;0.4577130495562704;1.4720479885226677e-07;120;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.4500059034083907;2.515052023456657e-07;120;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.0077071461478797065;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Overall;PM25;Cardiocirculatory;0.2587273200939073;0.0043267537123328;120;positive;weak;statistically significant;"weak positive association; statistically significant at p < 0.05";0.2183202767107847;0.0165968655405018;120;positive;weak;statistically significant;Weak positive, statistically significant;-0.04040704338312262;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Industrial;NO2;Respiratory;0.5100240358987829;3.145759922321826e-05;60;positive;strong;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.3070981010489429;0.0169995311745666;60;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.20292593484983995;same direction;weaker in ModAria;Same direction, but weaker after ModAria exposure reconstruction.
Monthly;Industrial;NO2;Cardiocirculatory;0.3783656118607542;0.0028746787925753;60;positive;moderate;statistically significant;"weak positive association; statistically significant at p < 0.05";0.3800050016749413;0.0027461918088383;60;positive;moderate;statistically significant;Moderate positive, statistically significant;0.0016393898141870977;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Industrial;PM25;Respiratory;0.4963598979353168;5.497674177762692e-05;60;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.4301651920320924;0.0006026513637952;60;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.0661947059032244;same direction;weaker in ModAria;Same direction, but weaker after ModAria exposure reconstruction.
Monthly;Industrial;PM25;Cardiocirculatory;0.4320268975228356;0.0005670424604195;60;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.3853677514060954;0.0023608207312718;60;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.04665914611674016;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Agricultural;NO2;Respiratory;0.456795101597182;0.0002437684182244;60;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.4647149582680177;0.0001835443502391;60;positive;moderate;statistically significant;Moderate positive, statistically significant;0.007919856670835668;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Agricultural;NO2;Cardiocirculatory;0.2545641490491571;0.0496654975054746;60;positive;weak;statistically significant;"weak positive association; statistically significant at p < 0.05";0.2774890942478858;0.0318286684446803;60;positive;weak;statistically significant;Weak positive, statistically significant;0.02292494519872873;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Agricultural;PM25;Respiratory;0.4109767984261844;0.001106822013453;60;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.4317016609874816;0.0005731223212215;60;positive;moderate;statistically significant;Moderate positive, statistically significant;0.020724862561297186;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Agricultural;PM25;Cardiocirculatory;0.2110235787955175;0.1055591829272798;60;positive;weak;not statistically significant;"weak positive association; not statistically significant";0.1261844559362757;0.336699615768896;60;positive;weak;not statistically significant;Weak positive, not statistically significant;-0.0848391228592418;same direction;weaker in ModAria;Same direction, but weaker after ModAria exposure reconstruction.
