Temporal_scale;Group;Pollutant;Outcome;Station_Lag_unit;Station_Best_lag;Station_Best_Rho;Station_Best_P_value;Station_N_at_best_lag;Station_Lag0_Rho;Station_Lag0_P_value;Station_Lag0_is_best;Station_Interpretation;ModAria_Lag_unit;ModAria_Best_lag;ModAria_Best_Rho;ModAria_Best_P_value;ModAria_N_at_best_lag;ModAria_Lag0_Rho;ModAria_Lag0_P_value;ModAria_Lag0_is_best;ModAria_Interpretation;Delta_best_lag_ModAria_minus_Station;Delta_best_rho_ModAria_minus_Station;Best_lag_agreement;Preliminary_interpretation
Monthly;Agricultural;PM25;Cardiocirculatory;months;0;0.2110235787955175;0.1055591829272798;60;;;True;"weak positive association; not statistically significant";months;0;0.1252118825036024;0.3404669850858701;60;0.1252118825036024;0.3404669850858701;True;"weak positive association; not statistically significant";0;-0.0858116962919151;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Weekly;Overall;NO2;Respiratory;weeks;1;0.3561328731307708;6.188881801703023e-17;518;;;False;"weak positive association; statistically significant at p < 0.05";weeks;2;0.3247737695749625;4.324360542523337e-14;514;0.3054120110998727;9.875691812421169e-13;False;"moderate positive association; statistically significant";1;-0.03135910355580829;similar short-lag structure;Best lag differs slightly but remains within a similar short-lag window.
Weekly;Overall;NO2;Cardiocirculatory;weeks;1;0.2088697262322874;1.624310574903374e-06;518;;;False;"weak positive association; statistically significant at p < 0.05";weeks;2;0.4152224059843918;7.684120191894825e-23;514;0.3984792023111331;2.598687021218617e-21;False;"moderate positive association; statistically significant";1;0.20635267975210442;similar short-lag structure;Best lag differs slightly but remains within a similar short-lag window.
Weekly;Overall;PM25;Respiratory;weeks;1;0.3424362599474995;1.2140882220331538e-15;516;;;False;"weak positive association; statistically significant at p < 0.05";weeks;1;0.1890786029486362;1.4769606946013075e-05;518;0.1518783651347142;0.0004978429875508;False;"weak positive association; statistically significant";0;-0.15335765699886328;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Weekly;Overall;PM25;Cardiocirculatory;weeks;1;0.2117186391639335;1.2174384990055834e-06;516;;;False;"weak positive association; statistically significant at p < 0.05";weeks;1;0.0715682277423785;0.1037334833184817;518;0.0677324330868358;0.1222084425816662;False;"very weak positive association; not statistically significant";0;-0.140150411421555;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Weekly;Industrial;NO2;Respiratory;weeks;2;0.4435049364859542;8.25742811554981e-14;257;;;False;"moderate positive association; statistically significant at p < 0.05";weeks;2;0.2353910153477343;0.0001396047465088;257;0.1851938474040836;0.0026683970044356;False;"weak positive association; statistically significant";0;-0.2081139211382199;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Weekly;Industrial;NO2;Cardiocirculatory;weeks;2;0.3456725515535075;1.263458218973304e-08;257;;;False;"weak positive association; statistically significant at p < 0.05";weeks;2;0.3154300522148753;2.410508829970108e-07;257;0.2992320768790253;8.464932187161997e-07;False;"moderate positive association; statistically significant";0;-0.03024249933863221;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Weekly;Industrial;PM25;Respiratory;weeks;1;0.4123444101904592;5.180826295434297e-12;258;;;False;"moderate positive association; statistically significant at p < 0.05";weeks;1;0.3577819634650776;3.076338631447116e-09;259;0.3212163185199644;1.1219796761470662e-07;False;"moderate positive association; statistically significant";0;-0.054562446725381575;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Weekly;Industrial;PM25;Cardiocirculatory;weeks;1;0.3681212442296857;1.06248868574317e-09;258;;;False;"weak positive association; statistically significant at p < 0.05";weeks;2;0.3363801540311346;3.2347667084862176e-08;257;0.2915135273654004;1.6561167939600006e-06;False;"moderate positive association; statistically significant";1;-0.03174109019855109;similar short-lag structure;Best lag differs slightly but remains within a similar short-lag window.
Weekly;Agricultural;NO2;Respiratory;weeks;0;0.3006583180324571;7.461586647500834e-07;261;;;True;"weak positive association; statistically significant at p < 0.05";weeks;4;0.1524268911155317;0.0152373164002101;253;0.1391137063210255;0.0246015130994465;False;"weak positive association; statistically significant";4;-0.14823142691692537;different lag structure;"Best lag differs across exposure frameworks; interpret temporal delay cautiously."
Weekly;Agricultural;NO2;Cardiocirculatory;weeks;1;0.1486955667136337;0.016630265071951;259;;;False;"very weak positive association; statistically significant at p < 0.05";weeks;0;0.1160078906936718;0.0612768371031455;261;0.1160078906936718;0.0612768371031455;True;"weak positive association; not statistically significant";-1;-0.032687676019961906;similar short-lag structure;Best lag differs slightly but remains within a similar short-lag window.
Weekly;Agricultural;PM25;Respiratory;weeks;1;0.2834497198799082;3.7280700844864055e-06;258;;;False;"weak positive association; statistically significant at p < 0.05";weeks;4;0.1691405708554889;0.0070076944190773;253;0.1303957628117288;0.0352483086816158;False;"weak positive association; statistically significant";3;-0.1143091490244193;different lag structure;"Best lag differs across exposure frameworks; interpret temporal delay cautiously."
Weekly;Agricultural;PM25;Cardiocirculatory;weeks;1;0.1495539461552178;0.0162139688944015;258;;;False;"very weak positive association; statistically significant at p < 0.05";weeks;0;0.112523809399529;0.0695361463519214;261;0.112523809399529;0.0695361463519214;True;"weak positive association; not statistically significant";-1;-0.03703013675568881;similar short-lag structure;Best lag differs slightly but remains within a similar short-lag window.
