Temporal_scale;Group;Pollutant;Outcome;Station_Rho;Station_P_value;Station_N;Station_Direction;Station_Strength;Station_Significance;Station_Interpretation;ModAria_Rho;ModAria_P_value;ModAria_N;ModAria_Direction;ModAria_Strength;ModAria_Significance;ModAria_Interpretation;Delta_Rho_ModAria_minus_Station;Direction_agreement;Magnitude_change;Preliminary_interpretation
Seasonal;Agricultural;PM25;Respiratory;0.5686274509803922;0.0138004376117254;18;positive;strong;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.6099071207430341;0.007196658594982;18;positive;strong;statistically significant;Strong positive, statistically significant;0.04127966976264186;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Seasonal;Agricultural;PM25;Cardiocirculatory;0.1475748194014448;0.5589695952802587;18;positive;weak;not statistically significant;"very weak positive association; not statistically significant";0.1289989680082559;0.6099496263278285;18;positive;weak;not statistically significant;Weak positive, not statistically significant;-0.018575851393188902;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Overall;NO2;Respiratory;0.4847937662091103;2.0119946151050678e-08;120;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.3235292075681221;0.0003128380346126;120;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.1612645586409882;same direction;weaker in ModAria;Same direction, but weaker after ModAria health-aligned exposure reconstruction.
Monthly;Overall;NO2;Cardiocirculatory;0.2805442120447313;0.0019117094176661;120;positive;weak;statistically significant;"weak positive association; statistically significant at p < 0.05";0.4330395588939005;7.814666047289544e-07;120;positive;moderate;statistically significant;Moderate positive, statistically significant;0.1524953468491692;same direction;stronger in ModAria;Same direction, strengthened by the ModAria health-aligned exposure reconstruction.
Monthly;Overall;PM25;Respiratory;0.4577130495562704;1.4720479885226677e-07;120;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.4502142555513376;2.4793237120116466e-07;120;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.007498794004932807;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Overall;PM25;Cardiocirculatory;0.2587273200939073;0.0043267537123328;120;positive;weak;statistically significant;"weak positive association; statistically significant at p < 0.05";0.2210913409664067;0.0152370826733234;120;positive;weak;statistically significant;Weak positive, statistically significant;-0.03763597912750061;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Industrial;NO2;Respiratory;0.5100240358987829;3.145759922321826e-05;60;positive;strong;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.2932603473100383;0.0229629511473227;60;positive;weak;statistically significant;Weak positive, statistically significant;-0.21676368858874456;same direction;weaker in ModAria;Same direction, but weaker after ModAria health-aligned exposure reconstruction.
Monthly;Industrial;NO2;Cardiocirculatory;0.3783656118607542;0.0028746787925753;60;positive;moderate;statistically significant;"weak positive association; statistically significant at p < 0.05";0.3749201146241578;0.0031622699130691;60;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.003445497236596373;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Industrial;PM25;Respiratory;0.4963598979353168;5.497674177762692e-05;60;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.425469247490175;0.0007016469427235;60;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.07089065044514181;same direction;weaker in ModAria;Same direction, but weaker after ModAria health-aligned exposure reconstruction.
Monthly;Industrial;PM25;Cardiocirculatory;0.4320268975228356;0.0005670424604195;60;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.3874239352408384;0.0022263579901614;60;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.04460296228199717;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Agricultural;NO2;Respiratory;0.456795101597182;0.0002437684182244;60;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.3961873563372079;0.0017267250268031;60;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.06060774525997409;same direction;weaker in ModAria;Same direction, but weaker after ModAria health-aligned exposure reconstruction.
Monthly;Agricultural;NO2;Cardiocirculatory;0.2545641490491571;0.0496654975054746;60;positive;weak;statistically significant;"weak positive association; statistically significant at p < 0.05";0.2807680561066131;0.0297813897154036;60;positive;weak;statistically significant;Weak positive, statistically significant;0.02620390705745601;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Agricultural;PM25;Respiratory;0.4109767984261844;0.001106822013453;60;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.4438176522453214;0.0003824263630649;60;positive;moderate;statistically significant;Moderate positive, statistically significant;0.032840853819136984;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Agricultural;PM25;Cardiocirculatory;0.2110235787955175;0.1055591829272798;60;positive;weak;not statistically significant;"weak positive association; not statistically significant";0.1252118825036024;0.3404669850858701;60;positive;weak;not statistically significant;Weak positive, not statistically significant;-0.0858116962919151;same direction;weaker in ModAria;Same direction, but weaker after ModAria health-aligned exposure reconstruction.
