MonthPeriod;Year;Month;Season;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel
2019-06-01;2019;6;Summer;Agricultural;60103;15.806199357769165;7.487147064206446;2019-06
2019-07-01;2019;7;Summer;Agricultural;60103;14.308769944927874;5.157812422008885;2019-07
2019-08-01;2019;8;Summer;Agricultural;60103;13.144102623829092;5.324193467880139;2019-08
2019-09-01;2019;9;Autumn;Agricultural;60103;16.305342495382927;5.324193467880139;2019-09
2019-10-01;2019;10;Autumn;Agricultural;60103;17.470009816481706;5.823336605493902;2019-10
2019-11-01;2019;11;Autumn;Agricultural;60103;14.641532036670382;7.6535281100777;2019-11
2019-12-01;2019;12;Winter;Agricultural;60103;16.638104587125433;6.322479743107666;2019-12
2023-01-01;2023;1;Winter;Agricultural;59596;20.47117256191691;10.235586280958454;2023-01
2023-02-01;2023;2;Winter;Agricultural;59596;15.605074166051413;9.732196791730988;2023-02
2023-03-01;2023;3;Spring;Agricultural;59596;13.591516209141552;7.718638834821129;2023-03
2023-04-01;2023;4;Spring;Agricultural;59596;12.584737230686624;7.383045842002819;2023-04
2023-05-01;2023;5;Spring;Agricultural;59596;17.28303913014296;7.550842338411974;2023-05
2023-06-01;2023;6;Summer;Agricultural;59596;15.605074166051413;6.040673870729579;2023-06
2023-07-01;2023;7;Summer;Agricultural;59596;13.423719712732398;6.208470367138734;2023-07
2023-08-01;2023;8;Summer;Agricultural;59596;15.437277669642258;6.544063359957044;2023-08
2023-09-01;2023;9;Autumn;Agricultural;59596;13.255923216323245;7.215249345593664;2023-09
2023-10-01;2023;10;Autumn;Agricultural;59596;11.577958252231694;8.222028324048594;2023-10
2023-11-01;2023;11;Autumn;Agricultural;59596;16.276260151688035;7.550842338411974;2023-11
2023-12-01;2023;12;Winter;Agricultural;59596;18.457614605007045;10.403382777367607;2023-12
2016-01-01;2016;1;Winter;Industrial;338383;16.3424285498976;6.5901655816042775;2016-01
2016-02-01;2016;2;Winter;Industrial;338383;16.815265542299702;6.028671653126782;2016-02
2016-03-01;2016;3;Spring;Industrial;338383;15.248993004967742;5.851357780975994;2016-03
2016-04-01;2016;4;Spring;Industrial;338383;13.712272779660916;5.644491596800076;2016-04
2016-05-01;2016;5;Spring;Industrial;338383;15.514963813193926;4.639712987945612;2016-05
2016-06-01;2016;6;Summer;Industrial;338383;14.805708324590777;4.462399115794824;2016-06
2016-07-01;2016;7;Summer;Industrial;338383;14.953469884716432;4.610160675920481;2016-07
2016-08-01;2016;8;Summer;Industrial;338383;12.175552554354091;3.516725130990623;2016-08
2016-09-01;2016;9;Autumn;Industrial;338383;14.539737516364594;4.196428307568643;2016-09
2016-10-01;2016;10;Autumn;Industrial;338383;15.16033606889235;4.994340732247187;2016-10
2016-11-01;2016;11;Autumn;Industrial;338383;18.3224334555814;5.4967300366744185;2016-11
2016-12-01;2016;12;Winter;Industrial;338383;16.99257941445049;7.565391878433609;2016-12
2017-01-01;2017;1;Winter;Industrial;338533;19.879893540659257;10.250108556625202;2017-01
2017-02-01;2017;2;Winter;Industrial;338533;15.06500104864223;7.975588790457651;2017-02
2017-03-01;2017;3;Spring;Industrial;338533;17.07366785512786;6.3804710323661205;2017-03
2017-04-01;2017;4;Spring;Industrial;338533;16.03979523414261;5.317059193638435;2017-04
2017-05-01;2017;5;Spring;Industrial;338533;17.309981597067345;5.76014745977497;2017-05
2017-06-01;2017;6;Summer;Industrial;338533;17.044128637385423;5.96692198397202;2017-06
2017-07-01;2017;7;Summer;Industrial;338533;16.423805064794273;4.78535327427459;2017-07
2017-08-01;2017;8;Summer;Industrial;338533;14.56283434702082;5.376137629123305;2017-08
2017-09-01;2017;9;Autumn;Industrial;338533;13.73573625023262;4.608117967819976;2017-09
2017-10-01;2017;10;Autumn;Industrial;338533;16.482883500279147;5.701069024290099;2017-10
2017-11-01;2017;11;Autumn;Industrial;338533;16.335187411566967;5.34659841138087;2017-11
2017-12-01;2017;12;Winter;Industrial;338533;18.58016795999208;6.794020080760221;2017-12
2018-01-01;2018;1;Winter;Industrial;338804;21.162678126586464;7.910178156102053;2018-01
2018-02-01;2018;2;Winter;Industrial;338804;18.211119113115547;6.375367469097178;2018-02
2018-03-01;2018;3;Spring;Industrial;338804;20.306726012679896;7.083741632330197;2018-03
2018-04-01;2018;4;Spring;Industrial;338804;17.17807345840073;5.814571256537703;2018-04
2018-05-01;2018;5;Spring;Industrial;338804;16.853401966918927;5.283290634112938;2018-05
2018-06-01;2018;6;Summer;Industrial;338804;14.905373018028122;5.017650322900557;2018-06
2018-07-01;2018;7;Summer;Industrial;338804;15.554716000991723;6.227789518423631;2018-07
2018-08-01;2018;8;Summer;Industrial;338804;15.495684820722303;5.19474386370881;2018-08
2018-09-01;2018;9;Autumn;Industrial;338804;14.96440419829754;4.89958796236172;2018-09
2018-10-01;2018;10;Autumn;Industrial;338804;17.17807345840073;6.050695977615376;2018-10
2018-11-01;2018;11;Autumn;Industrial;338804;16.115512213551195;6.227789518423631;2018-11
2018-12-01;2018;12;Winter;Industrial;338804;17.70935408082549;7.910178156102053;2018-12
2019-01-01;2019;1;Winter;Industrial;340591;17.058583462275866;9.04310448602576;2019-01
2019-02-01;2019;2;Winter;Industrial;340591;16.706254716067072;9.483515418786755;2019-02
2019-03-01;2019;3;Spring;Industrial;340591;16.853058360320738;7.105296381877383;2019-03
2019-04-01;2019;4;Spring;Industrial;340591;16.148400867903145;6.635524720265656;2019-04
2019-05-01;2019;5;Spring;Industrial;340591;15.443743375485552;7.046574924175918;2019-05
2019-06-01;2019;6;Summer;Industrial;340591;15.531825562037753;6.723606906817855;2019-06
2019-07-01;2019;7;Summer;Industrial;340591;15.737350663992885;7.516346585787646;2019-07
2019-08-01;2019;8;Summer;Industrial;340591;14.3280356791577;5.960227956698797;2019-08
2019-09-01;2019;9;Autumn;Industrial;340591;14.269314221456234;5.754702854743666;2019-09
2019-10-01;2019;10;Autumn;Industrial;340591;15.884154308246549;7.604428772339844;2019-10
2019-11-01;2019;11;Autumn;Industrial;340591;14.474839323411365;6.8704105510715205;2019-11
2019-12-01;2019;12;Winter;Industrial;340591;16.030957952500213;7.8686753319964415;2019-12
2023-01-01;2023;1;Winter;Industrial;341484;17.5703693291633;9.51728338663012;2023-01
2023-02-01;2023;2;Winter;Industrial;341484;14.231999156622273;8.375209380234505;2023-02
2023-03-01;2023;3;Spring;Industrial;341484;16.01832003842054;7.848098300359607;2023-03
2023-04-01;2023;4;Spring;Industrial;341484;15.403357111899826;7.76024645371379;2023-04
2023-05-01;2023;5;Spring;Industrial;341484;16.369727425003806;6.99886378278338;2023-05
2023-06-01;2023;6;Summer;Industrial;341484;16.77970270935095;6.442468754026543;2023-06
2023-07-01;2023;7;Summer;Industrial;341484;18.126764357920138;6.208197162971032;2023-07
2023-08-01;2023;8;Summer;Industrial;341484;15.666912651837274;6.99886378278338;2023-08
2023-09-01;2023;9;Autumn;Industrial;341484;15.637628702955336;6.735308242845932;2023-09
2023-10-01;2023;10;Autumn;Industrial;341484;18.126764357920138;7.6431106581860355;2023-10
2023-11-01;2023;11;Autumn;Industrial;341484;20.03022103524616;7.438123016012463;2023-11
2023-12-01;2023;12;Winter;Industrial;341484;20.440196319593305;11.596443757247776;2023-12
