Group;Pollutant;Pollutant_label;Outcome;Outcome_label;Lag_weeks;N;Spearman_rho;p_value;Interpretation
Overall;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;512;0.16390065084631644;0.0001954685124202931;"very weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;508;0.1467445384401884;0.0009089806061653776;"very weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;4;504;0.15105448892780005;0.000668245410124531;"very weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;261;0.3831931439708752;1.4822274172455824e-10;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;1;259;0.44117112816498966;9.237188830179613e-14;"moderate positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;2;257;0.4435049364859542;8.25742811554981e-14;"moderate positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;3;255;0.3866139079539921;1.6187729515145696e-10;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;4;253;0.36432877942747677;2.3314530435158027e-09;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;261;0.32522355433582556;7.6253069302509e-08;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;259;0.32371755031542554;9.890988122253085e-08;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;257;0.3456725515535075;1.263458218973304e-08;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;255;0.32551014989455185;1.0492658957255511e-07;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;4;253;0.2694177231143196;1.3944331544928998e-05;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;0;260;0.3504815842246579;6.268649495437626e-09;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;258;0.41234441019045925;5.180826295434297e-12;"moderate positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;2;256;0.3670079216898582;1.395181178658644e-09;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;3;254;0.3484961557660778;1.1524367467709864e-08;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;4;252;0.3385155161300186;3.5761149561852686e-08;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;260;0.35831759225312426;2.705354480648956e-09;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;258;0.36812124422968573;1.06248868574317e-09;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;256;0.35381013590578575;5.791024739703474e-09;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;254;0.32017395708449387;1.8331847000111627e-07;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;4;252;0.27852598311292576;7.168619175157399e-06;"weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;261;0.30065831803245713;7.461586647500834e-07;"weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;1;259;0.29789247240984124;1.0489306418663725e-06;"weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;2;257;0.2878590452220425;2.7064718274386888e-06;"weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;3;255;0.2831252889338139;4.363637756376357e-06;"weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;4;253;0.28176210880388425;5.312038417133623e-06;"weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;261;0.13926002526948372;0.02444955741400339;"very weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;259;0.14869556671363376;0.016630265071951013;"very weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;257;0.13396544539957986;0.031805493187713745;"very weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;255;0.09954436951522931;0.11280117985441734;"very weak positive association; not statistically significant"
Agricultural;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;4;253;0.128943888579632;0.04042450702275992;"very weak positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;0;260;0.2606590339596979;2.075951980947951e-05;"weak positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;258;0.2834497198799082;3.7280700844864055e-06;"weak positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;2;256;0.2377411964809421;0.0001228085001820038;"weak positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;3;254;0.22991167288088005;0.00021924220191446843;"weak positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;4;252;0.22501266801765984;0.0003176207314434703;"weak positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;260;0.1182162469136634;0.056952457672466476;"very weak positive association; not statistically significant"
Agricultural;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;258;0.14955394615521786;0.016213968894401565;"very weak positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;256;0.05722285041367942;0.36185695813188307;"very weak positive association; not statistically significant"
Agricultural;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;254;0.058859406334583614;0.3501760484580812;"very weak positive association; not statistically significant"
Agricultural;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;4;252;0.10919255482537732;0.08364161128197352;"very weak positive association; not statistically significant"
